mediSpanDrug,mediSpanDisease
medispan:C0689912,medispan:C0003873
medispan:C0690031,medispan:C0003873
medispan:C0690032,medispan:C0003873
medispan:C0690106,medispan:C0003873
medispan:C0690120,medispan:C0003873
medispan:C0690121,medispan:C0003873
medispan:C0690123,medispan:C0003873
medispan:C0690124,medispan:C0003873
medispan:C0690128,medispan:C0003873
medispan:C0690432,medispan:C0003873
medispan:C0690433,medispan:C0003873
medispan:C0690605,medispan:C0003873
medispan:C0690606,medispan:C0003873
medispan:C0690607,medispan:C0003873
medispan:C0690616,medispan:C0003873
medispan:C0690617,medispan:C0003873
medispan:C0690618,medispan:C0003873
medispan:C0690619,medispan:C0003873
medispan:C0690809,medispan:C0003873
medispan:C0690959,medispan:C0003873
medispan:C0691130,medispan:C0003873
medispan:C0691132,medispan:C0003873
medispan:C0691133,medispan:C0003873
medispan:C0691136,medispan:C0003873
medispan:C0691137,medispan:C0003873
medispan:C0691142,medispan:C0003873
medispan:C0691144,medispan:C0003873
medispan:C0691147,medispan:C0003873
medispan:C0691152,medispan:C0003873
medispan:C0691628,medispan:C0003873
medispan:C0692502,medispan:C0003873
medispan:C0692694,medispan:C0003873
medispan:C0692728,medispan:C0003873
medispan:C0692740,medispan:C0003873
medispan:C0692773,medispan:C0003873
medispan:C0692774,medispan:C0003873
medispan:C0692861,medispan:C0003873
medispan:C0693008,medispan:C0003873
medispan:C0693086,medispan:C0003873
medispan:C0693090,medispan:C0003873
medispan:C0693099,medispan:C0003873
medispan:C0693100,medispan:C0003873
medispan:C0693167,medispan:C0003873
medispan:C0693345,medispan:C0003873
medispan:C0693346,medispan:C0003873
medispan:C0693378,medispan:C0003873
medispan:C0693413,medispan:C0003873
medispan:C0693711,medispan:C0003873
medispan:C0702669,medispan:C0003873
medispan:C0702912,medispan:C0003873
medispan:C0704929,medispan:C0003873
medispan:C0705524,medispan:C0003873
medispan:C0705865,medispan:C0003873
medispan:C0705867,medispan:C0003873
medispan:C0705868,medispan:C0003873
medispan:C0705898,medispan:C0003873
medispan:C0705969,medispan:C0003873
medispan:C0693099,medispan:C0029408
medispan:C0693100,medispan:C0029408
medispan:C0693167,medispan:C0029408
medispan:C0693345,medispan:C0029408
medispan:C0693346,medispan:C0029408
medispan:C0693378,medispan:C0029408
medispan:C0693413,medispan:C0029408
medispan:C0693711,medispan:C0029408
medispan:C0702669,medispan:C0029408
medispan:C0702912,medispan:C0029408
medispan:C0704929,medispan:C0029408
medispan:C0705898,medispan:C0029408
medispan:C0705969,medispan:C0029408
medispan:C0705970,medispan:C0029408
medispan:C0707528,medispan:C0029408
medispan:C0709150,medispan:C0029408
medispan:C0714615,medispan:C0029408
medispan:C0353544,medispan:C0029408
medispan:C0357347,medispan:C0029408
medispan:C0691131,medispan:C0029408
medispan:C0691135,medispan:C0029408
medispan:C0691138,medispan:C0029408
medispan:C0691139,medispan:C0029408
medispan:C0691143,medispan:C0029408
medispan:C0691146,medispan:C0029408
medispan:C0691149,medispan:C0029408
medispan:C0692316,medispan:C0029408
medispan:C0693392,medispan:C0029408
medispan:C0704963,medispan:C0029408
medispan:C0774350,medispan:C0029408
medispan:C0351070,medispan:C0029408
medispan:C0688415,medispan:C0029408
medispan:C0689572,medispan:C0029408
medispan:C0692597,medispan:C0029408
medispan:C0688786,medispan:C0029458
medispan:C0688787,medispan:C0029458
medispan:C0688788,medispan:C0029458
medispan:C0688794,medispan:C0029458
medispan:C0688797,medispan:C0029458
medispan:C0688798,medispan:C0029458
medispan:C0688800,medispan:C0029458
medispan:C0688803,medispan:C0029458
medispan:C0688804,medispan:C0029458
medispan:C0688805,medispan:C0029458
medispan:C0688806,medispan:C0029458
medispan:C0705994,medispan:C0029458
medispan:C0773954,medispan:C0029458
medispan:C0773955,medispan:C0029458
medispan:C0688435,medispan:C0029463
medispan:C0688436,medispan:C0029463
medispan:C0687951,medispan:C0030567
medispan:C0688043,medispan:C0030567
medispan:C0688044,medispan:C0030567
medispan:C0689338,medispan:C0030567
medispan:C0689340,medispan:C0030567
medispan:C0690134,medispan:C0030567
medispan:C0692230,medispan:C0030567
medispan:C0692794,medispan:C0030567
medispan:C0774462,medispan:C0030567
medispan:C0774468,medispan:C0030567
medispan:C0774475,medispan:C0030567
medispan:C0688640,medispan:C0030567
medispan:C0688642,medispan:C0030567
medispan:C0689335,medispan:C0030567
medispan:C0689336,medispan:C0030567
medispan:C0689337,medispan:C0030567
medispan:C0689339,medispan:C0030567
medispan:C0691409,medispan:C0030567
medispan:C0774477,medispan:C0030567
medispan:C0774478,medispan:C0030567
medispan:C0356432,medispan:C0031036
medispan:C0356459,medispan:C0031036
medispan:C0356471,medispan:C0031036
medispan:C0356472,medispan:C0031036
medispan:C0688416,medispan:C0031036
medispan:C0688417,medispan:C0031036
medispan:C0688418,medispan:C0031036
medispan:C0688489,medispan:C0031036
medispan:C0688490,medispan:C0031036
medispan:C0688492,medispan:C0031036
medispan:C0688493,medispan:C0031036
medispan:C0688495,medispan:C0031036
medispan:C0688496,medispan:C0031036
medispan:C0688497,medispan:C0031036
medispan:C0688498,medispan:C0031036
medispan:C0688502,medispan:C0031036
medispan:C0689112,medispan:C0031036
